"76";"BÜD";"Wetteraukreis";"Büdingen";"Hessen"
"77";"BUL";"Landkreis Amberg-Sulzbach ";"Burglengenfeld";"Bayern"
"78";"BÜS";"Gemeinde Büsingen am Hochrhein ";"Büsingen";"Baden-Württemberg"
"79";"BÜZ";"Landkreis Rostock";"Bützow";"Mecklenburg-Vorpommern"
"80";"BW";"Wasser- und Schifffahrtsverwaltung des Bundes";"Bundes-Wasser- und Schifffahrtsverwaltung";"bundesweit"
"81";"BWL";"Baden-Württemberg, Landesregierung";"Baden-Württembergischer Landtag";"Baden-Württemberg"
"82";"BYL";"Bayern, Landesregierung und Landtag";"Bayerischer Landtag";"Bayern"
"83";"BZ";"Landkreis Bautzen";"Bautzen";"Sachsen"
"84";"C";"Stadt Chemnitz";"Chemnitz";"Sachsen"
"85";"CA";"Landkreis Oberspreewald-Lausitz";"Calau";"Brandenburg"
"86";"CAS";"Kreis Recklinghausen";"Castrop-Rauxel";"Nordrhein-Westfalen"
"87";"CB";"Stadt Cottbus";"Cottbus";"Brandenburg"
"88";"CE";"Landkreis Celle";"Celle";"Niedersachsen"
"89";"CHA";"Landkreis Cham";"Cham";"Bayern"
"90";"CLP";"Landkreis Cloppenburg";"Cloppenburg";"Niedersachsen"
"91";"CLZ";"Landkreis Goslar";"Clausthal-Zellerfeld";"Niedersachsen"
"92";"CO";"Landkreis Coburg ";"Coburg";"Bayern"
"93";"COC";"Landkreis Cochem-Zell";"Cochem";"Rheinland-Pfalz"
"94";"COE";"Kreis Coesfeld";"Coesfeld";"Nordrhein-Westfalen"
"95";"CUX";"Landkreis Cuxhaven";"Cuxhaven";"Niedersachsen"
"96";"CW";"Landkreis Calw";"Calw";"Baden-Württemberg"
"97";"D";"Stadt Düsseldorf";"Düsseldorf";"Nordrhein-Westfalen"
"98";"DA";"Landkreis Darmstadt-Dieburg ";"Darmstadt";"Hessen"
"99";"DAH";"Landkreis Dachau";"Dachau";"Bayern"
"100";"DAN";"Landkreis Lüchow-Dannenberg";"Dannenberg";"Niedersachsen"
"101";"DAU";"Landkreis Vulkaneifel";"Daun";"Rheinland-Pfalz"
"102";"DBR";"Landkreis Rostock";"Bad Doberan";"Mecklenburg-Vorpommern"
"103";"DD";"Stadt Dresden";"Dresden";"Sachsen"
"104";"DE";"Stadt Dessau-Roßlau";"Dessau";"Sachsen-Anhalt"
"105";"DEG";"Landkreis Deggendorf";"Deggendorf";"Bayern"
"106";"DEL";"Stadt Delmenhorst";"Delmenhorst";"Niedersachsen"
"107";"DGF";"Landkreis Dingolfing-Landau";"Dingolfing";"Bayern"
"108";"DH";"Landkreis Diepholz";"Diepholz";"Niedersachsen"
"109";"DI";"Landkreis Darmstadt-Dieburg";"Dieburg";"Hessen"
"110";"DIN";"Kreis Wesel";"Dinslaken";"Nordrhein-Westfalen"
"111";"DIZ";"Rhein-Lahn-Kreis";"Diez";"Rheinland-Pfalz"
"112";"DKB";"Landkreis Ansbach";"Dinkelsbühl";"Bayern"
"113";"DL";"Landkreis Mittelsachsen";"Döbeln";"Sachsen"
"114";"DLG";"Landkreis Dillingen an der Donau";"Dillingen an der Donau";"Bayern"
"115";"DM";"Landkreis Mecklenburgische Seenplatte ";"Demmin";"Mecklenburg-Vorpommern"
"116";"DN";"Kreis Düren";"Düren";"Nordrhein-Westfalen"
"117";"DO";"Stadt Dortmund";"Dortmund";"Nordrhein-Westfalen"
"118";"DON";"Landkreis Donau-Ries";"Donauwörth";"Bayern"
"119";"DU";"Stadt Duisburg";"Duisburg";"Nordrhein-Westfalen"
"120";"DUD";"Landkreis Göttingen";"Duderstadt";"Niedersachsen"
"121";"DÜW";"Landkreis Bad Dürkheim";"Bad Dürkheim an der Weinstraße";"Rheinland-Pfalz"
"122";"DW";"Landkreis Sächsische Schweiz-Osterzgebirge";"Dippoldiswalde";"Sachsen"
"123";"DZ";"Landkreis Nordsachsen";"Delitzsch";"Sachsen"
"124";"E";"Stadt Essen";"Essen";"Nordrhein-Westfalen"
"125";"EA";"Stadt Eisenach";"Eisenach";"Thüringen"
"126";"EB";"Landkreis Nordsachsen";"Eilenburg";"Sachsen"
"127";"EBE";"Landkreis Ebersberg";"Ebersberg";"Bayern"
"128";"EBS";"Landkreis Bayreuth und Landkreis Forchheim und Landkreis Kulmbach";"Ebermannstadt";"Bayern"
"129";"ECK";"Kreis Rendsburg-Eckernförde";"Eckernförde";"Schleswig-Holstein"
"130";"ED";"Landkreis Erding";"Erding";"Bayern"
"131";"EE";"Landkreis Elbe-Elster";"Elbe-Elster";"Brandenburg"
"132";"EF";"Stadt Erfurt ";"Erfurt";"Thüringen"
"133";"EG";"Landkreis Rottal-Inn";"Eggenfelden";"Bayern"
"134";"EI";"Landkreis Eichstätt";"Eichstätt";"Bayern"
"135";"EIC";"Landkreis Eichsfeld";"Eichsfeld";"Thüringen"
"136";"EIL";"Landkreis Mansfeld-Südharz";"Eisleben";"Sachsen-Anhalt"
"137";"EIN";"Landkreis Northeim";"Einbeck";"Niedersachsen"
"138";"EIS";"Saale-Holzland-Kreis";"Eisenberg";"Thüringen"
"139";"EL";"Landkreis Emsland";"Emsland";"Niedersachsen"
"140";"EM";"Landkreis Emmendingen";"Emmendingen";"Baden-Württemberg"
"141";"EMD";"Stadt Emden";"Emden";"Niedersachsen"
"142";"EMS";"Rhein-Lahn-Kreis";"Bad Ems";"Rheinland-Pfalz"
"143";"EN";"Ennepe-Ruhr-Kreis";"Ennepe";"Nordrhein-Westfalen"
"144";"ER";"Stadt Erlangen";"Erlangen";"Bayern"
"145";"ERB";"Odenwaldkreis";"Erbach (Odenwald)";"Hessen"
"146";"ERH";"Landkreis Erlangen-Höchstadt";"Erlangen-Höchstadt";"Bayern"
"147";"ERK";"Kreis Heinsberg";"Erkelenz";"Nordrhein-Westfalen"
"148";"ERZ";"Erzgebirgskreis";"Erzgebirge";"Sachsen"
"149";"ES";"Landkreis Esslingen";"Esslingen am Neckar";"Baden-Württemberg"
"150";"ESB";"Landkreis Amberg-Sulzbach und Landkreis Bayreuth und Landkreis Neustadt an der Waldnaab  und Landkreis Nürnberger Land";"Eschenbach in der Oberpfalz";"Bayern"
"151";"ESW";"Werra-Meißner-Kreis";"Eschwege";"Hessen"
"152";"EU";"Kreis Euskirchen";"Euskirchen";"Nordrhein-Westfalen"
"153";"EW";"Landkreis Barnim";"Eberswalde";"Brandenburg"
"154";"F";"Stadt Frankfurt am Main";"Frankfurt";"Hessen"
"155";"FB";"Wetteraukreis";"Friedberg (Hessen)";"Hessen"
"156";"FD";"Landkreis Fulda";"Fulda";"Hessen"
"157";"FDB";"Landkreis Aichach-Friedberg";"Friedberg";"Bayern"
"158";"FDS";"Landkreis Freudenstadt";"Freudenstadt";"Baden-Württemberg"
"159";"FEU";"Landkreis Ansbach";"Feuchtwangen";"Bayern"
"160";"FF";"Stadt Frankfurt (Oder)";"Frankfurt";"Brandenburg"
"161";"FFB";"Landkreis Fürstenfeldbruck";"Fürstenfeldbruck";"Bayern"
"162";"FG";"Landkreis Mittelsachsen";"Freiberg";"Sachsen"
"163";"FI";"Landkreis Elbe-Elster";"Finsterwalde";"Brandenburg"
"164";"FKB";"Landkreis Waldeck-Frankenberg";"Frankenberg";"Hessen"
"165";"FL";"Stadt Flensburg";"Flensburg";"Schleswig-Holstein"
"166";"FLÖ";"Landkreis Mittelsachsen";"Flöha";"Sachsen"
"167";"FN";"Bodenseekreis";"Friedrichshafen";"Baden-Württemberg"
"168";"FO";"Landkreis Forchheim";"Forchheim";"Bayern"
"169";"FOR";"Landkreis Spree-Neiße";"Forst (Lausitz)";"Brandenburg"
"170";"FR";"Stadt Freiburg im Breisgau und Landkreis Breisgau-Hochschwarzwald";"Freiburg im Breisgau";"Baden-Württemberg"
"171";"FRG";"Landkreis Freyung-Grafenau";"Freyung-Grafenau";"Bayern"
"172";"FRI";"Landkreis Friesland";"Friesland";"Niedersachsen"
"173";"FRW";"Landkreis Märkisch-Oderland";"Bad Freienwalde (Oder)";"Brandenburg"
"174";"FS";"Landkreis Freising ";"Freising";"Bayern"
"175";"FT";"Stadt Frankenthal (Pfalz)";"Frankenthal";"Rheinland-Pfalz"
"176";"FTL";"Landkreis Sächsische Schweiz-Osterzgebirge";"Freital";"Sachsen"
"177";"FÜ";"Stadt Fürth und Landkreis Fürth ";"Fürth";"Bayern"
"178";"FÜS";"Landkreis Ostallgäu";"Füssen";"Bayern"
"179";"G";"Stadt Gera";"Gera";"Thüringen"
"180";"GA";"Altmarkkreis Salzwedel";"Gardelegen";"Sachsen-Anhalt"
"181";"GAN";"Landkreis Northeim";"Bad Gandersheim";"Niedersachsen"
"182";"GAP";"Landkreis Garmisch-Partenkirchen";"Garmisch-Partenkirchen";"Bayern"
"183";"GC";"Landkreis Zwickau";"Glauchau";"Sachsen"
"184";"GD";"Ostalbkreis";"Schwäbisch Gmünd";"Baden-Württemberg"
"185";"GDB";"Landkreis Nordwestmecklenburg";"Gadebusch";"Mecklenburg-Vorpommern"
"186";"GE";"Stadt Gelsenkirchen";"Gelsenkirchen";"Nordrhein-Westfalen"
"187";"GEO";"Landkreis Schweinfurt";"Gerolzhofen";"Bayern"
"188";"GER";"Landkreis Germersheim";"Germersheim";"Rheinland-Pfalz"
"189";"GF";"Landkreis Gifhorn";"Gifhorn";"Niedersachsen"
"190";"GG";"Landkreis Groß-Gerau";"Groß-Gerau";"Hessen"
"191";"GHA";"Landkreis Leipzig";"Geithain";"Sachsen"
"192";"GHC";"Landkreis Wittenberg";"Gräfenhainichen";"Sachsen-Anhalt"
"193";"GI";"Landkreis Gießen";"Gießen";"Hessen"
"194";"GK";"Kreis Heinsberg";"Geilenkirchen";"Nordrhein-Westfalen"
"195";"GL";"Rheinisch-Bergischer Kreis";"Bergisch Gladbach";"Nordrhein-Westfalen"
"196";"GLA";"Kreis Recklinghausen";"Gladbeck";"Nordrhein-Westfalen"
"197";"GM";"Oberbergischer Kreis";"Gummersbach";"Nordrhein-Westfalen"
"198";"GMN";"Landkreis Vorpommern-Rügen ";"Grimmen";"Mecklenburg-Vorpommern"
"199";"GN";"Main-Kinzig-Kreis";"Gelnhausen";"Hessen"
"200";"GNT";"Landkreis Jerichower Land";"Genthin";"Sachsen-Anhalt"
"201";"GÖ";"Landkreis Göttingen ";"Göttingen";"Niedersachsen"
"202";"GOA";"Rhein-Hunsrück-Kreis";"Sankt Goar";"Rheinland-Pfalz"
"203";"GOH";"Rhein-Lahn-Kreis";"Sankt Goarshausen";"Rheinland-Pfalz"
"204";"GP";"Landkreis Göppingen";"Göppingen";"Baden-Württemberg"
"205";"GR";"Landkreis Görlitz";"Görlitz";"Sachsen"
"206";"GRA";"Landkreis Freyung-Grafenau";"Grafenau";"Bayern"
"207";"GRH";"Landkreis Meißen";"Großenhain";"Sachsen"
"208";"GRI";"Landkreis Rottal-Inn";"Bad Griesbach im Rottal";"Bayern"
"209";"GRM";"Landkreis Leipzig";"Grimma";"Sachsen"
"210";"GRZ";"Landkreis Greiz";"Greiz";"Thüringen"
"211";"GS";"Landkreis Goslar";"Goslar";"Niedersachsen"
"212";"GT";"Kreis Gütersloh";"Gütersloh";"Nordrhein-Westfalen"
"213";"GTH";"Landkreis Gotha";"Gotha";"Thüringen"
"214";"GÜ";"Landkreis Rostock";"Güstrow";"Mecklenburg-Vorpommern"
"215";"GUB";"Landkreis Spree-Neiße";"Guben";"Brandenburg"
"216";"GUN";"Landkreis Weißenburg-Gunzenhausen";"Gunzenhausen";"Bayern"
"217";"GVM";"Landkreis Nordwestmecklenburg";"Grevesmühlen";"Mecklenburg-Vorpommern"
"218";"GW";"Landkreis Vorpommern-Greifswald";"Greifswald";"Mecklenburg-Vorpommern"
"219";"GZ";"Landkreis Günzburg";"Günzburg";"Bayern"
"220";"H";"Region Hannover und Stadt Hannover ";"Hannover";"Niedersachsen"
"221";"HA";"Stadt Hagen";"Hagen";"Nordrhein-Westfalen"
"222";"HAB";"Landkreis Bad Kissingen";"Hammelburg";"Bayern"
"223";"HAL";"Stadt Halle (Saale)";"Halle (Saale)";"Sachsen-Anhalt"
"224";"HAM";"Stadt Hamm";"Hamm";"Nordrhein-Westfalen"
"225";"HAS";"Landkreis Haßberge";"Haßfurt";"Bayern"
"226";"HB";"Stadt Bremen, Senat und Bürgerschaft und Stadt Bremerhaven";"Hansestadt Bremen";"Bremen"
"227";"HBN";"Landkreis Hildburghausen";"Hildburghausen";"Thüringen"
"228";"HBS";"Landkreis Harz";"Halberstadt";"Sachsen-Anhalt"
"229";"HC";"Landkreis Mittelsachsen";"Hainichen";"Sachsen"
"230";"HCH";"Zollernalbkreis";"Hechingen";"Baden-Württemberg"
"231";"HD";"Stadt Heidelberg und Rhein-Neckar-Kreis in Heidelberg";"Heidelberg";"Baden-Württemberg"
"232";"HDH";"Landkreis Heidenheim";"Heidenheim an der Brenz";"Baden-Württemberg"
"233";"HDL";"Landkreis Börde";"Haldensleben";"Sachsen-Anhalt"
"234";"HE";"Landkreis Helmstedt";"Helmstedt";"Niedersachsen"
"235";"HEB";"Landkreis Nürnberger Land";"Hersbruck";"Bayern"
"236";"HEF";"Landkreis Hersfeld-Rotenburg";"Bad Hersfeld";"Hessen"
"237";"HEI";"Kreis Dithmarschen";"Heide (Holstein)";"Schleswig-Holstein"
"238";"HEL";"Hessen, Landesregierung und Landtag";"Hessischer Landtag";"Hessen"
"239";"HER";"Stadt Herne";"Herne";"Nordrhein-Westfalen"
"240";"HET";"Landkreis Mansfeld-Südharz";"Hettstedt";"Sachsen-Anhalt"
"241";"HF";"Kreis Herford";"Herford";"Nordrhein-Westfalen"
"242";"HG";"Hochtaunuskreis";"Bad Homburg vor der Höhe";"Hessen"
"243";"HGN";"Landkreis Ludwigslust-Parchim";"Hagenow";"Mecklenburg-Vorpommern"
"244";"HGW";"Stadt Greifswald";"Hansestadt Greifswald";"Mecklenburg-Vorpommern"
"245";"HH";"Freie und Hansestadt Hamburg, Senat und Bürgerschaft";"Hansestadt Hamburg";"Hamburg"
"246";"HHM";"Burgenlandkreis";"Hohenmölsen";"Sachsen-Anhalt"
"247";"HI";"Landkreis Hildesheim";"Hildesheim";"Niedersachsen"
"248";"HIG";"Landkreis Eichsfeld";"Heiligenstadt";"Thüringen"
"249";"HIP";"Landkreis Roth";"Hilpoltstein";"Bayern"
"250";"HK";"Landkreis Heidekreis";"Heidekreis";"Niedersachsen"
"251";"HL";"Stadt Lübeck";"Hansestadt Lübeck";"Schleswig-Holstein"
"252";"HM";"Landkreis Hameln-Pyrmont";"Hameln";"Niedersachsen"
"253";"HMÜ";"Landkreis Göttingen";"Hann. Münden";"Niedersachsen"
"254";"HN";"Stadt Heilbronn und Landkreis Heilbronn";"Heilbronn";"Baden-Württemberg"
"255";"HO";"Stadt Hof und Landkreis Hof";"Hof";"Bayern"
"256";"HOG";"Landkreis Kassel";"Hofgeismar";"Hessen"
"257";"HOL";"Landkreis Holzminden";"Holzminden";"Niedersachsen"
"258";"HOM";"Saarpfalz-Kreis";"Homburg";"Saarland"
"259";"HOR";"Landkreis Freudenstadt";"Horb";"Baden-Württemberg"
"260";"HOT";"Landkreis Zwickau";"Hohenstein-Ernstthal";"Sachsen"
"261";"HP";"Landkreis Bergstraße";"Heppenheim (Bergstraße)";"Hessen"
"262";"HR";"Schwalm-Eder-Kreis";"Homberg (Efze)";"Hessen"
"263";"HRO";"Stadt Rostock";"Hansestadt Rostock";"Mecklenburg-Vorpommern"
"264";"HS";"Kreis Heinsberg";"Heinsberg";"Nordrhein-Westfalen"
"265";"HSK";"Hochsauerlandkreis";"Hochsauerlandkreis";"Nordrhein-Westfalen"
"266";"HST";"Stadt Stralsund ";"Hansestadt Stralsund";"Mecklenburg-Vorpommern"
"267";"HU";"Stadt Hanau ";"Hanau";"Hessen"
"268";"HV";"Landkreis Stendal";"Havelberg";"Sachsen-Anhalt"
"269";"HVL";"Landkreis Havelland";"Havelland";"Brandenburg"
"270";"HWI";"Stadt Wismar";"Hansestadt Wismar";"Mecklenburg-Vorpommern"
"271";"HX";"Kreis Höxter";"Höxter";"Nordrhein-Westfalen"
"272";"HY";"Landkreis Bautzen";"Hoyerswerda";"Sachsen"
"273";"HZ";"Landkreis Harz";"Harz";"Sachsen-Anhalt"
"274";"IGB";"Stadt St. Ingbert";"St. Ingbert";"Saarland"
"275";"IK";"Ilm-Kreis";"Ilm-Kreis";"Thüringen"
"276";"IL";"Ilm-Kreis";"Ilmenau";"Thüringen"
"277";"ILL";"Landkreis Neu-Ulm";"Illertissen";"Bayern"
"278";"IN";"Stadt Ingolstadt (sonst)";"Ingolstadt";"Bayern"
"279";"IZ";"Kreis Steinburg";"Itzehoe";"Schleswig-Holstein"
"280";"J";"Stadt Jena";"Jena";"Thüringen"
"281";"JE";"Landkreis Wittenberg";"Jessen (Elster)";"Sachsen-Anhalt"
"282";"JL";"Landkreis Jerichower Land";"Jerichower Land";"Sachsen-Anhalt"
"283";"JÜL";"Kreis Düren";"Jülich";"Nordrhein-Westfalen"
"284";"K";"Stadt Köln";"Köln";"Nordrhein-Westfalen"
"285";"KA";"Stadt Karlsruhe und Landkreis Karlsruhe";"Karlsruhe";"Baden-Württemberg"
"286";"KB";"Landkreis Waldeck-Frankenberg";"Korbach";"Hessen"
"287";"KC";"Landkreis Kronach";"Kronach";"Bayern"
"288";"KE";"Stadt Kempten (Allgäu) ";"Kempten";"Bayern"
"289";"KEH";"Landkreis Kelheim";"Kelheim";"Bayern"
"290";"KEM";"Landkreis Bayreuth und Landkreis Tirschenreuth";"Kemnath";"Bayern"
"291";"KF";"Stadt Kaufbeuren";"Kaufbeuren";"Bayern"
"292";"KG";"Landkreis Bad Kissingen";"Bad Kissingen";"Bayern"
"293";"KH";"Landkreis Bad Kreuznach und Stadt Bad Kreuznach ";"Bad Kreuznach";"Rheinland-Pfalz"
"294";"KI";"Stadt Kiel";"Kiel";"Schleswig-Holstein"
"295";"KIB";"Donnersbergkreis";"Kirchheimbolanden";"Rheinland-Pfalz"
"296";"KL";"Stadt Kaiserslautern und Landkreis Kaiserslautern ";"Kaiserslautern";"Rheinland-Pfalz"
"297";"KLE";"Kreis Kleve";"Kleve";"Nordrhein-Westfalen"
"298";"KLZ";"Altmarkkreis Salzwedel";"Klötze";"Sachsen-Anhalt"
"299";"KM";"Landkreis Bautzen";"Kamenz";"Sachsen"
"300";"KN";"Landkreis Konstanz ";"Konstanz";"Baden-Württemberg"
"301";"KO";"Stadt Koblenz";"Koblenz";"Rheinland-Pfalz"
"302";"KÖN";"Landkreis Rhön-Grabfeld";"Bad Königshofen im Grabfeld";"Bayern"
"303";"KÖT";"Landkreis Anhalt-Bitterfeld";"Köthen (Anhalt)";"Sachsen-Anhalt"
"304";"KÖZ";"Landkreis Cham";"Kötzting";"Bayern"
"305";"KR";"Stadt Krefeld";"Krefeld";"Nordrhein-Westfalen"
"306";"KRU";"Landkreis Günzburg";"Krumbach (Schwaben)";"Bayern"
"307";"KS";"Stadt Kassel und Landkreis Kassel";"Kassel";"Hessen"
"308";"KT";"Landkreis Kitzingen";"Kitzingen";"Bayern"
"309";"KU";"Landkreis Kulmbach";"Kulmbach";"Bayern"
"310";"KÜN";"Hohenlohekreis";"Künzelsau";"Baden-Württemberg"
"311";"KUS";"Landkreis Kusel";"Kusel";"Rheinland-Pfalz"
"312";"KY";"Landkreis Ostprignitz-Ruppin";"Kyritz";"Brandenburg"
"313";"KYF";"Kyffhäuserkreis";"Kyffhäuser";"Thüringen"
"314";"L";"Stadt Leipzig und Landkreis Leipzig in Borna ";"Leipzig";"Sachsen"
"315";"LA";"Stadt Landshut und Landkreis Landshut";"Landshut";"Bayern"
"316";"LAU";"Landkreis Nürnberger Land";"Lauf an der Pegnitz";"Bayern"
"317";"LB";"Landkreis Ludwigsburg";"Ludwigsburg";"Baden-Württemberg"
"318";"LBS";"Saale-Orla-Kreis";"Bad Lobenstein";"Thüringen"
"319";"LBZ";"Landkreis Ludwigslust-Parchim";"Lübz";"Mecklenburg-Vorpommern"
"320";"LD";"Stadt Landau in der Pfalz";"Landau in der Pfalz";"Rheinland-Pfalz"
"321";"LDK";"Lahn-Dill-Kreis ";"Lahn-Dill-Kreis";"Hessen"
"322";"LDS";"Landkreis Dahme-Spreewald";"Landkreis Dahme-Spreewald";"Brandenburg"
"323";"LEO";"Landkreis Böblingen";"Leonberg";"Baden-Württemberg"
"324";"LER";"Landkreis Leer";"Leer (Ostfriesland)";"Niedersachsen"
"325";"LEV";"Stadt Leverkusen";"Leverkusen";"Nordrhein-Westfalen"
"326";"LG";"Landkreis Lüneburg ";"Lüneburg";"Niedersachsen"
"327";"LI";"Landkreis Lindau (Bodensee)";"Lindau (Bodensee)";"Bayern"
"328";"LIB";"Landkreis Elbe-Elster";"Bad Liebenwerda";"Brandenburg"
"329";"LIF";"Landkreis Lichtenfels";"Lichtenfels";"Bayern"
"330";"LIP";"Kreis Lippe";"Lippe";"Nordrhein-Westfalen"
"331";"LL";"Landkreis Landsberg am Lech";"Landsberg am Lech";"Bayern"
"332";"LM";"Landkreis Limburg-Weilburg";"Limburg an der Lahn";"Hessen"
"333";"LÖ";"Landkreis Lörrach";"Lörrach";"Baden-Württemberg"
"334";"LÖB";"Landkreis Görlitz";"Löbau";"Sachsen"
"335";"LOS";"Landkreis Oder-Spree";"Landkreis Oder-Spree";"Brandenburg"
"336";"LP";"Kreis Soest";"Lippstadt";"Nordrhein-Westfalen"
"337";"LRO";"Landkreis Rostock";"Landkreis Rostock";"Mecklenburg-Vorpommern"
"338";"LSA";"Sachsen-Anhalt, Landesregierung, Landtag und Polizei";"Land Sachsen-Anhalt";"Sachsen-Anhalt"
